四川电信,#genre#
台球高清,http://171.214.202.148:4000/udp/239.93.0.203:9072
纪实人文,http://171.214.202.148:4000/udp/239.93.1.154:5140
墨宝高清,http://171.214.202.148:4000/udp/239.93.0.215:9132
军事高清,http://171.214.202.148:4000/udp/239.93.0.204:9076
解密高清,http://171.214.202.148:4000/udp/239.93.0.199:9048
地理高清,http://171.214.202.148:4000/udp/239.93.0.200:9052
传奇,http://171.214.202.148:4000/udp/239.93.0.235:1282
导视,http://171.214.202.148:4000/udp/239.93.0.129:5140
收视指南,http://171.214.202.148:4000/udp/239.93.0.195:8012
资讯新干线,http://171.214.202.148:4000/udp/239.93.0.236:1283
蓉城先锋,http://171.214.202.148:4000/udp/239.93.0.91:2101
星空精选高清,http://171.214.202.148:4000/udp/239.93.1.171:5140
东方财经高清,http://171.214.202.148:4000/udp/239.93.1.165:5140
CGTN西班牙语,http://171.214.202.148:4000/udp/239.93.42.49:5140
CGTN法语,http://171.214.202.148:4000/udp/239.93.42.50:5140
百姓健康,http://171.214.202.148:4000/udp/239.93.42.35:5140
爱怀旧高清,http://171.214.202.148:4000/udp/239.93.42.21:5140
爱喜剧高清,http://171.214.202.148:4000/udp/239.93.42.9:5140
爱奇谈高清,http://171.214.202.148:4000/udp/239.93.42.22:5140
爱科幻高清,http://171.214.202.148:4000/udp/239.93.42.10:5140
爱院线高清,http://171.214.202.148:4000/udp/239.93.42.11:5140
爱谍战高清,http://171.214.202.148:4000/udp/239.93.42.14:5140
爱经典高清,http://171.214.202.148:4000/udp/239.93.42.13:5140
爱悬疑高清,http://171.214.202.148:4000/udp/239.93.42.12:5140
爱青春高清,http://171.214.202.148:4000/udp/239.93.42.16:5140
爱都市高清,http://171.214.202.148:4000/udp/239.93.42.15:5140
爱幼教高清,http://171.214.202.148:4000/udp/239.93.42.17:5140
爱玩具高清,http://171.214.202.148:4000/udp/239.93.42.18:5140
爱动漫高清,http://171.214.202.148:4000/udp/239.93.42.23:5140
爱电竞高清,http://171.214.202.148:4000/udp/239.93.42.19:5140
爱赛车高清,http://171.214.202.148:4000/udp/239.93.42.20:5140
都市剧场,http://171.214.202.148:4000/udp/239.93.42.30:5140
求索频道高清,http://171.214.202.148:4000/udp/239.93.42.24:5140
少儿天地,http://171.214.202.148:4000/udp/239.93.42.34:5140
爱宠宠物,http://171.214.202.148:4000/udp/239.93.42.32:5140
生活时尚,http://171.214.202.148:4000/udp/239.93.42.29:5140
环球旅游,http://171.214.202.148:4000/udp/239.93.42.31:5140
来钓鱼吧,http://171.214.202.148:4000/udp/239.93.42.8:5140
麻辣体育,http://171.214.202.148:4000/udp/239.93.42.2:5140
绚影4K,http://171.214.202.148:4000/udp/239.93.42.33:5140
先锋乒羽,http://171.214.202.148:4000/udp/239.93.42.56:5140
天元围棋,http://171.214.202.148:4000/udp/239.93.42.55:5140
快乐垂钓,http://171.214.202.148:4000/udp/239.93.1.151:5140
茶频道,http://171.214.202.148:4000/udp/239.93.0.114:5140
热血剧场,http://171.214.202.148:4000/udp/239.93.1.198:5140
乐龄学堂,http://171.214.202.148:4000/udp/239.93.1.179:5140
亲子趣学4K,http://171.214.202.148:4000/udp/239.93.1.191:5140
津津悦读4K,http://171.214.202.148:4000/udp/239.93.1.197:5140
动画番剧,http://171.214.202.148:4000/udp/239.93.1.177:5140
中录动漫4K,http://171.214.202.148:4000/udp/239.93.1.188:5140
熊猫24小时,http://171.214.202.148:4000/udp/239.93.1.178:5140
综艺咖秀,http://171.214.202.148:4000/udp/239.93.1.175:5140
红色经典,http://171.214.202.148:4000/udp/239.93.1.176:5140
4K超高清电影,http://171.214.202.148:4000/udp/239.93.1.156:5140
4K乐享超清,http://171.214.202.148:4000/udp/239.93.0.43:5140
i成都,http://171.214.202.148:4000/udp/239.93.1.104:1234
中国体育1,http://171.214.202.148:4000/udp/239.93.42.25:5140
中国体育2,http://171.214.202.148:4000/udp/239.93.42.26:5140
中国体育3,http://171.214.202.148:4000/udp/239.93.42.27:5140
精彩推荐,http://171.214.202.148:4000/udp/239.93.1.5:5140
直播室1,http://171.214.202.148:4000/udp/239.93.1.180:5140
直播室2,http://171.214.202.148:4000/udp/239.93.1.181:5140
直播室3,http://171.214.202.148:4000/udp/239.93.1.182:5140
直播室4,http://171.214.202.148:4000/udp/239.93.1.183:5140
直播室5,http://171.214.202.148:4000/udp/239.93.1.184:5140
直播室6,http://171.214.202.148:4000/udp/239.93.1.185:5140
直播室7,http://171.214.202.148:4000/udp/239.93.1.186:5140
直播室8,http://171.214.202.148:4000/udp/239.93.1.187:5140
红原日干乔,http://171.214.202.148:4000/udp/239.93.0.178:5140
红原月亮湾,http://171.214.202.148:4000/udp/239.93.0.209:5140
电信导视3,http://171.214.202.148:4000/udp/239.93.0.110:5140
雅克音乐节直播,http://171.214.202.148:4000/udp/239.93.42.69:5140
雅克音乐节宣传,http://171.214.202.148:4000/udp/239.93.42.68:5140
云演艺宣传,http://171.214.202.148:4000/udp/239.93.42.60:5140
创新及人才文化节,http://171.214.202.148:4000/udp/239.93.42.59:5140

湖北电信,#genre#
CCTV1,http://219.140.132.102:8887/rtp/239.254.96.96:8550
CCTV2,http://219.140.132.102:8887/rtp/239.69.1.102:10250
CCTV3,http://219.140.132.102:8887/rtp/239.69.1.122:10370
CCTV4,http://219.140.132.102:8887/rtp/239.69.1.138:10466
CCTV5,http://219.140.132.102:8887/rtp/239.69.1.123:10376
CCTV5+,http://219.140.132.102:8887/rtp/239.254.96.234:9484
CCTV6,http://219.140.132.102:8887/rtp/239.69.1.124:10382
CCTV7,http://219.140.132.102:8887/rtp/239.69.1.103:10256
CCTV8,http://219.140.132.102:8887/rtp/239.69.1.125:10388
CCTV9,http://219.140.132.102:8887/rtp/239.69.1.104:10262
CCTV10,http://219.140.132.102:8887/rtp/239.69.1.105:10268
CCTV11,http://219.140.132.102:8887/rtp/239.69.1.154:10560
CCTV12,http://219.140.132.102:8887/rtp/239.69.1.106:10274
CCTV13,http://219.140.132.102:8887/rtp/239.254.96.161:9040
CCTV14,http://219.140.132.102:8887/rtp/239.69.1.107:10280
CCTV15,http://219.140.132.102:8887/rtp/239.69.1.155:10566
CCTV16,http://219.140.132.102:8887/rtp/239.69.1.247:11124
CCTV17,http://219.140.132.102:8887/rtp/239.69.1.152:10548
CCTV16-4K,http://219.140.132.102:8887/rtp/239.69.1.13:9718
CCTV第一剧场,http://219.140.132.102:8887/rtp/239.69.1.74:10084
CCTV兵器科技,http://219.140.132.102:8887/rtp/239.69.1.79:10114
CCTV风云足球,http://219.140.132.102:8887/rtp/239.69.1.81:10126
CCTV高尔夫网球,http://219.140.132.102:8887/rtp/239.69.1.83:10138
CCTV世界地理,http://219.140.132.102:8887/rtp/239.69.1.91:10186
CCTV央视台球,http://219.140.132.102:8887/rtp/239.69.1.98:10224
中文国际欧洲,http://219.140.132.102:8887/rtp/239.69.1.231:11028
中文国际美洲,http://219.140.132.102:8887/rtp/239.69.1.232:11034
CGTN记录片,http://219.140.132.102:8887/rtp/239.69.1.233:11040
CGTN西班牙语,http://219.140.132.102:8887/rtp/239.69.1.234:11046
CGTN法语,http://219.140.132.102:8887/rtp/239.69.1.235:11052
CCTV16奥林匹克-4K,http://219.140.132.102:8887/rtp/239.69.1.249:11136
BestTV测试1-4K,http://219.140.132.102:8887/rtp/239.69.1.26:9796
BestTV测试2-4K,http://219.140.132.102:8887/rtp/239.69.1.27:9802
BestTV测试3-4K,http://219.140.132.102:8887/rtp/239.69.1.25:9790
爱上4K,http://219.140.132.102:8887/rtp/239.69.1.141:10482
湖北卫视,http://219.140.132.102:8887/rtp/239.254.96.115:8664
河北卫视,http://219.140.132.102:8887/rtp/239.254.96.113:9616
深圳卫视,http://219.140.132.102:8887/rtp/239.254.96.137:8896
黑龙江卫视,http://219.140.132.102:8887/rtp/239.254.96.138:8902
湖南卫视,http://219.140.132.102:8887/rtp/239.254.96.139:8908
广东卫视,http://219.140.132.102:8887/rtp/239.254.96.140:8914
北京卫视,http://219.140.132.102:8887/rtp/239.254.96.141:8920
东方卫视,http://219.140.132.102:8887/rtp/239.254.96.142:8926
浙江卫视,http://219.140.132.102:8887/rtp/239.254.96.143:8932
江苏卫视,http://219.140.132.102:8887/rtp/239.254.96.144:8938
天津卫视,http://219.140.132.102:8887/rtp/239.69.1.68:10048
山东卫视,http://219.140.132.102:8887/rtp/239.69.1.69:10054
安徽卫视,http://219.140.132.102:8887/rtp/239.69.1.70:10060
辽宁卫视,http://219.140.132.102:8887/rtp/239.69.1.71:10066
东南卫视,http://219.140.132.102:8887/rtp/239.69.1.108:10286
江西卫视,http://219.140.132.102:8887/rtp/239.69.1.126:10394
重庆卫视,http://219.140.132.102:8887/rtp/239.69.1.149:10530
贵州卫视,http://219.140.132.102:8887/rtp/239.69.1.150:10536
海南卫视,http://219.140.132.102:8887/rtp/239.69.1.151:10542
河南卫视,http://219.140.132.102:8887/rtp/239.69.1.168:10644
四川卫视,http://219.140.132.102:8887/rtp/239.69.1.169:10650
广西卫视,http://219.140.132.102:8887/rtp/239.69.1.191:10788
吉林卫视,http://219.140.132.102:8887/rtp/239.69.1.212:10914
河北卫视,http://219.140.132.102:8887/rtp/239.69.1.157:10578
东方卫视,http://219.140.132.102:8887/rtp/239.69.1.173:10674
江苏卫视,http://219.140.132.102:8887/rtp/239.69.1.174:10680
CHC-高清电影,http://219.140.132.102:8887/rtp/239.69.1.241:11088
CHC-动作电影,http://219.140.132.102:8887/rtp/239.69.1.242:11094
CHC-家庭影院,http://219.140.132.102:8887/rtp/239.69.1.243:11100
湖北公共新闻,http://219.140.132.102:8887/rtp/239.69.1.40:9880
湖北经视,http://219.140.132.102:8887/rtp/239.69.1.41:9886
湖北综合,http://219.140.132.102:8887/rtp/239.69.1.42:9892
湖北垄上,http://219.140.132.102:8887/rtp/239.69.1.43:9898
湖北影视,http://219.140.132.102:8887/rtp/239.69.1.204:10866
湖北生活,http://219.140.132.102:8887/rtp/239.69.1.205:10872
湖北教育,http://219.140.132.102:8887/rtp/239.69.1.206:10878
武汉一台新闻综合,http://219.140.132.102:8887/rtp/239.69.1.145:10506
武汉二台电视剧,http://219.140.132.102:8887/rtp/239.69.1.146:10512
武汉三台科技生活,http://219.140.132.102:8887/rtp/239.69.1.251:11148
武汉四台经济,http://219.140.132.102:8887/rtp/239.69.1.35:9850
武汉五台文体,http://219.140.132.102:8887/rtp/239.69.1.147:10518
武汉六台外语,http://219.140.132.102:8887/rtp/239.69.1.36:9856
武汉教育,http://219.140.132.102:8887/rtp/239.69.1.60:9994
蔡甸综合,http://219.140.132.102:8887/rtp/239.69.1.245:11112
阳新综合,http://219.140.132.102:8887/rtp/239.69.1.34:9844
房县综合,http://219.140.132.102:8887/rtp/239.69.1.192:10794
卡酷少儿,http://219.140.132.102:8887/rtp/239.69.1.193:10800
梨园频道,http://219.140.132.102:8887/rtp/239.69.1.33:9838
武术世界,http://219.140.132.102:8887/rtp/239.69.1.47:9922
快乐垂钓,http://219.140.132.102:8887/rtp/239.69.1.142:10488
茶频道,http://219.140.132.102:8887/rtp/239.69.1.144:10500
金鹰卡通,http://219.140.132.102:8887/rtp/239.69.1.248:11130
金鹰纪实,http://219.140.132.102:8887/rtp/239.69.1.109:10292
CETV1,http://219.140.132.102:8887/rtp/239.69.1.110:10298
CCTV5+,http://219.140.132.102:8887/rtp/239.69.1.12:9712

重庆电信,#genre#
CCTV1高清,http://125.80.152.112:7788/rtp/235.254.198.51:1480
CCTV2高清,http://125.80.152.112:7788/rtp/235.254.198.52:1484
CCTV3高清,http://125.80.152.112:7788/rtp/235.254.198.53:1488
CCTV4高清,http://125.80.152.112:7788/rtp/235.254.198.183:7980
CCTV5高清,http://125.80.152.112:7788/rtp/235.254.198.54:1492
CCTV5+高清,http://125.80.152.112:7788/rtp/235.254.198.122:1764
CCTV6高清,http://125.80.152.112:7788/rtp/235.254.198.55:1496
CCTV7高清,http://125.80.152.112:7788/rtp/235.254.198.56:1500
CCTV8高清,http://125.80.152.112:7788/rtp/235.254.198.57:1504
CCTV9高清,http://125.80.152.112:7788/rtp/235.254.198.58:1508
CCTV10高清,http://125.80.152.112:7788/rtp/235.254.198.59:1512
CCTV11,http://125.80.152.112:7788/rtp/235.254.198.7:1304
CCTV12高清,http://125.80.152.112:7788/rtp/235.254.198.60:1516
CCTV13,http://125.80.152.112:7788/rtp/235.254.198.9:1312
CCTV15,http://125.80.152.112:7788/rtp/235.254.198.11:1320
CCTV少儿高清,http://125.80.152.112:7788/rtp/235.254.198.61:1520
江苏卫视超高清,http://125.80.152.112:7788/rtp/235.254.198.64:1532
浙江卫视超高清,http://125.80.152.112:7788/rtp/235.254.198.63:1528
东方卫视超高清,http://125.80.152.112:7788/rtp/235.254.198.73:1568
深圳卫视高清,http://125.80.152.112:7788/rtp/235.254.198.71:1560
北京卫视超高清,http://125.80.152.112:7788/rtp/235.254.198.66:1540
山东卫视高清,http://125.80.152.112:7788/rtp/235.254.198.69:1552
天津卫视超高清,http://125.80.152.112:7788/rtp/235.254.198.67:1544
贵州卫视超高清,http://125.80.152.112:7788/rtp/235.254.198.185:7980
四川卫视超高清,http://125.80.152.112:7788/rtp/235.254.198.175:7980
云南卫视,http://125.80.152.112:7788/rtp/235.254.198.25:1376
广西卫视,http://125.80.152.112:7788/rtp/235.254.198.38:1428
黑龙江卫视超高清,http://125.80.152.112:7788/rtp/235.254.198.70:1556
安徽卫视超高清,http://125.80.152.112:7788/rtp/235.254.198.65:1536
山西卫视,http://125.80.152.112:7788/rtp/235.254.198.41:1440
江西卫视,http://125.80.152.112:7788/rtp/235.254.198.29:1392
湖北卫视高清,http://125.80.152.112:7788/rtp/235.254.198.72:1564
旅游卫视,http://125.80.152.112:7788/rtp/235.254.198.44:1452
陕西卫视,http://125.80.152.112:7788/rtp/235.254.198.40:1436
东南卫视超高清,http://125.80.152.112:7788/rtp/235.254.198.129:7980
吉林卫视,http://125.80.152.112:7788/rtp/235.254.198.39:1432
辽宁卫视高清,http://125.80.152.112:7788/rtp/235.254.198.68:1548
内蒙古卫视,http://125.80.152.112:7788/rtp/235.254.198.42:1444
湖南卫视超高清,http://125.80.152.112:7788/rtp/235.254.198.62:1524
广东卫视高清,http://125.80.152.112:7788/rtp/235.254.196.204:1088
河南卫视,http://125.80.152.112:7788/rtp/235.254.198.26:1380
河北卫视高清,http://125.80.152.112:7788/rtp/235.254.198.184:7980
宁夏卫视,http://125.80.152.112:7788/rtp/235.254.198.45:1456
甘肃卫视,http://125.80.152.112:7788/rtp/235.254.198.48:1468
少儿动画,http://125.80.152.112:7788/rtp/235.254.198.116:1740
卡酷动画,http://125.80.152.112:7788/rtp/235.254.198.49:1472
金鹰卡通,http://125.80.152.112:7788/rtp/235.254.198.50:1476
嘉佳卡通,http://125.80.152.112:7788/rtp/235.254.198.110:1716
魅力时尚,http://125.80.152.112:7788/rtp/235.254.198.115:1736
青海卫视,http://125.80.152.112:7788/rtp/235.254.198.43:1448
新疆卫视,http://125.80.152.112:7788/rtp/235.254.198.47:1464
西藏卫视,http://125.80.152.112:7788/rtp/235.254.198.46:1460
重庆卫视,http://125.80.152.112:7788/rtp/235.254.196.249:1268
CQTV影视,http://125.80.152.112:7788/rtp/235.254.198.180:7980
CQTV都市,http://125.80.152.112:7788/rtp/235.254.198.181:7980
CQTV时尚,http://125.80.152.112:7788/rtp/235.254.198.182:7980
CQTV娱乐,http://125.80.152.112:7788/rtp/235.254.198.187:7980
CQTV公共农村,http://125.80.152.112:7788/rtp/235.254.198.186:7980
CQTV少儿,http://125.80.152.112:7788/rtp/235.254.196.214:1128
CQTV科教,http://125.80.152.112:7788/rtp/235.254.196.215:1132
CQTV生活,http://125.80.152.112:7788/rtp/235.254.196.216:1136
CQTV汽摩,http://125.80.152.112:7788/rtp/235.254.196.221:1156
睛彩重庆,http://125.80.152.112:7788/rtp/235.254.196.218:1146
CQTV新闻超高清,http://125.80.152.112:7788/rtp/235.254.196.199:7980
CQTV手持电视,http://125.80.152.112:7788/rtp/235.254.196.219:1148
CQTV移动,http://125.80.152.112:7788/rtp/235.254.196.217:1140
爱上4K,http://125.80.152.112:7788/rtp/235.254.198.102:7980
纪实高清,http://125.80.152.112:7788/rtp/235.254.198.121:1760
IPTV3,http://125.80.152.112:7788/rtp/235.254.198.13:1328
IPTV5,http://125.80.152.112:7788/rtp/235.254.198.14:1332
IPTV6,http://125.80.152.112:7788/rtp/235.254.198.15:1336
IPTV8,http://125.80.152.112:7788/rtp/235.254.198.16:1340
CGTN,http://125.80.152.112:7788/rtp/235.254.198.127:1784
熊猫频道,http://125.80.152.112:7788/rtp/235.254.198.133:1808
芒果TV,http://125.80.152.112:7788/rtp/235.254.196.206:7980
收视指南,http://125.80.152.112:7788/rtp/235.254.198.112:1724
财富天下,http://125.80.152.112:7788/rtp/235.254.198.108:1708
IPTV谍战剧场,http://125.80.152.112:7788/rtp/235.254.198.117:1744
IPTV相声小品,http://125.80.152.112:7788/rtp/235.254.198.118:1748
IPTV野外,http://125.80.152.112:7788/rtp/235.254.198.119:1752
IPTV法治,http://125.80.152.112:7788/rtp/235.254.198.120:1756
热播剧场,http://125.80.152.112:7788/rtp/235.254.198.113:1728
经典电影,http://125.80.152.112:7788/rtp/235.254.198.114:1732
城市剧场,http://125.80.152.112:7788/rtp/235.254.198.74:1572
